 [    -50	     0	     0	    40	     0	     0	     0	    10	     0	     0	     0	     0	     0	     0	     0	 ]
 [      0	   -90	     0	    40	    50	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	 ]
 [      0	     0	   -40	    20	     0	     0	    20	     0	     0	     0	     0	     0	     0	     0	     0	 ]
 [     40	    40	    20	  -100	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	 ]
 [      0	    50	     0	     0	  -120	    30	    40	     0	     0	     0	     0	     0	     0	     0	     0	 ]
 [      0	     0	     0	     0	    30	   -60	     0	     0	     0	     0	     0	     0	     0	     0	    30	 ]
 [      0	     0	    20	     0	    40	     0	   -70	     0	     0	     0	    10	     0	     0	     0	     0	 ]
 [     10	     0	     0	     0	     0	     0	     0	   -30	     0	     0	     0	     0	    20	     0	     0	 ]
 [      0	     0	     0	     0	     0	     0	     0	     0	   -30	    10	     0	     0	    20	     0	     0	 ]
 [      0	     0	     0	     0	     0	     0	     0	     0	    10	   -60	     0	    50	     0	    20	     0	 ]
 [      0	     0	     0	     0	     0	     0	    10	     0	     0	     0	   -40	    10	     0	     0	     0	 ]
 [      0	     0	     0	     0	     0	     0	     0	     0	     0	    50	    10	  -120	     0	     0	    40	 ]
 [      0	     0	     0	     0	     0	     0	     0	    20	    20	     0	     0	     0	   -50	    10	     0	 ]
 [      0	     0	     0	     0	     0	     0	     0	     0	     0	    20	     0	     0	    10	   -30	     0	 ]
 [      0	     0	     0	     0	     0	    30	     0	     0	     0	     0	     0	    40	     0	     0	   -70	 ]
