[ -155.8,	 2.363,	0.01245,	     0,	     0,	     0,	     0,	     0,	     0,	    30,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,		]
[  2.363,	-131.7,	0.1323,	     0,	     0,	    10,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,		]
[ 0.01245,	0.1323,	-58.91,	     0,	     0,	     0,	     0,	    20,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,		]
[      0,	     0,	     0,	   -60,	    10,	     0,	     0,	    20,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,		]
[      0,	     0,	     0,	    10,	  -280,	     0,	    50,	     0,	    20,	     0,	    60,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,		]
[      0,	    10,	     0,	     0,	     0,	   -80,	    30,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,		]
[      0,	     0,	     0,	     0,	    50,	    30,	  -380,	     0,	     0,	    40,	     0,	     0,	    70,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,		]
[      0,	     0,	    20,	    20,	     0,	     0,	     0,	  -100,	    10,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,		]
[      0,	     0,	     0,	     0,	    20,	     0,	     0,	    10,	   -60,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,		]
[     30,	     0,	     0,	     0,	     0,	     0,	    40,	     0,	     0,	  -140,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,		]
[      0,	     0,	     0,	     0,	    60,	     0,	     0,	     0,	     0,	     0,	  -240,	    60,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,		]
[      0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	    60,	  -420,	    60,	    70,	     0,	     0,	    20,	     0,	     0,	     0,	     0,	     0,		]
[      0,	     0,	     0,	     0,	     0,	     0,	    70,	     0,	     0,	     0,	     0,	    60,	  -300,	     0,	     0,	     0,	    20,	     0,	     0,	     0,	     0,	     0,		]
[      0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	    70,	     0,	  -300,	    60,	     0,	    20,	     0,	     0,	     0,	     0,	     0,		]
[      0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	    60,	  -180,	    30,	     0,	     0,	     0,	     0,	     0,	     0,		]
[      0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	    30,	   -80,	     0,	     0,	     0,	    10,	     0,	     0,		]
[      0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	    20,	    20,	    20,	     0,	     0,	  -220,	    50,	     0,	     0,	     0,	     0,		]
[      0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	    50,	  -240,	    60,	     0,	    10,	     0,		]
[      0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	    60,	  -220,	     0,	    50,	     0,		]
[      0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	    10,	     0,	     0,	     0,	  -100,	     0,	    40,		]
[      0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	    10,	    50,	     0,	  -200,	    40,		]
[      0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	     0,	    40,	    40,	  -160,		]
